iter	Passed	Remaining
0	43	43416
1	74	37356
2	104	34806
3	133	33117
4	165	32858
5	189	31416
6	212	30083
7	237	29427
8	263	28997
9	287	28452
10	313	28149
11	340	27996
12	366	27836
13	394	27797
14	424	27843
15	452	27836
16	482	27883
17	510	27846
18	538	27786
19	566	27754
20	594	27722
21	621	27637
22	650	27611
23	677	27563
24	703	27444
25	729	27323
26	758	27341
27	786	27319
28	810	27126
29	834	26995
30	860	26906
31	884	26762
32	911	26704
33	941	26752
34	974	26877
35	1005	26926
36	1038	27039
37	1068	27049
38	1095	27000
39	1123	26958
40	1152	26948
41	1177	26850
42	1205	26830
43	1234	26830
44	1265	26857
45	1292	26795
46	1317	26716
47	1342	26632
48	1367	26549
49	1390	26415
50	1412	26283
51	1443	26321
52	1475	26360
53	1507	26404
54	1534	26368
55	1562	26337
56	1590	26306
57	1618	26293
58	1642	26200
59	1667	26131
60	1690	26018
61	1713	25926
62	1741	25902
63	1767	25848
64	1793	25796
65	1816	25699
66	1840	25627
67	1864	25554
68	1886	25454
69	1913	25428
70	1944	25445
71	1976	25478
72	2007	25489
73	2033	25446
74	2061	25422
75	2085	25357
76	2110	25295
77	2137	25261
78	2162	25210
79	2188	25164
80	2213	25116
81	2245	25133
82	2273	25118
83	2300	25089
84	2330	25091
85	2360	25085
86	2389	25076
87	2418	25067
88	2448	25059
89	2478	25057
90	2509	25066
91	2539	25058
92	2565	25025
93	2595	25014
94	2624	25002
95	2656	25011
96	2684	24989
97	2712	24964
98	2741	24954
99	2773	24958
100	2803	24950
101	2832	24934
102	2859	24906
103	2888	24881
104	2914	24842
105	2941	24809
106	2966	24760
107	2993	24725
108	3017	24667
109	3042	24612
110	3067	24565
111	3094	24536
112	3120	24491
113	3145	24446
114	3171	24404
115	3204	24422
116	3231	24391
117	3261	24380
118	3293	24386
119	3325	24383
120	3353	24361
121	3382	24343
122	3412	24333
123	3444	24330
124	3472	24306
125	3503	24304
126	3536	24308
127	3563	24276
128	3590	24241
129	3615	24199
130	3643	24167
131	3669	24129
132	3695	24090
133	3724	24069
134	3750	24029
135	3777	23996
136	3803	23959
137	3831	23934
138	3857	23894
139	3889	23892
140	3926	23919
141	3961	23934
142	3990	23915
143	4022	23910
144	4056	23921
145	4088	23914
146	4118	23900
147	4154	23917
148	4185	23903
149	4219	23912
150	4250	23897
151	4279	23875
152	4309	23857
153	4338	23831
154	4368	23815
155	4394	23776
156	4422	23743
157	4449	23710
158	4491	23759
159	4519	23726
160	4546	23693
161	4574	23663
162	4606	23655
163	4638	23646
164	4669	23630
165	4701	23620
166	4734	23613
167	4762	23587
168	4796	23587
169	4825	23558
170	4857	23550
171	4886	23523
172	4914	23492
173	4941	23455
174	4967	23416
175	4993	23377
176	5022	23351
177	5048	23311
178	5072	23267
179	5103	23248
180	5133	23229
181	5163	23208
182	5193	23187
183	5223	23166
184	5250	23132
185	5280	23111
186	5310	23087
187	5338	23057
188	5361	23008
189	5385	22960
190	5412	22925
191	5438	22887
192	5464	22848
193	5492	22820
194	5522	22796
195	5551	22771
196	5580	22745
197	5605	22705
198	5628	22654
199	5652	22608
200	5676	22565
201	5701	22524
202	5724	22475
203	5752	22446
204	5779	22413
205	5804	22371
206	5828	22329
207	5853	22288
208	5881	22261
209	5906	22219
210	5936	22196
211	5962	22161
212	5987	22124
213	6012	22081
214	6036	22039
215	6060	21998
216	6085	21957
217	6112	21924
218	6141	21901
219	6166	21862
220	6188	21814
221	6214	21777
222	6236	21730
223	6262	21694
224	6286	21655
225	6314	21624
226	6340	21591
227	6366	21556
228	6391	21519
229	6415	21478
230	6440	21438
231	6465	21404
232	6488	21359
233	6513	21323
234	6539	21287
235	6564	21250
236	6593	21228
237	6620	21196
238	6645	21160
239	6670	21123
240	6694	21083
241	6716	21038
242	6742	21004
243	6765	20960
244	6790	20924
245	6813	20882
246	6837	20845
247	6863	20810
248	6886	20770
249	6910	20730
250	6934	20693
251	6959	20656
252	6981	20613
253	7007	20580
254	7030	20539
255	7055	20504
256	7079	20467
257	7111	20451
258	7139	20426
259	7164	20390
260	7189	20357
261	7214	20322
262	7241	20292
263	7266	20258
264	7292	20226
265	7318	20194
