iter	RMSE
0	3.558046112
1	3.457010835
2	3.362379826
3	3.274486617
4	3.194543377
5	3.117085601
6	3.047489866
7	2.983078019
8	2.922428035
9	2.866501254
10	2.815457858
11	2.766752973
12	2.720823618
13	2.679359744
14	2.641050025
15	2.60559403
16	2.573126454
17	2.543430576
18	2.516755641
19	2.491265432
20	2.468704603
21	2.44783535
22	2.42822973
23	2.410001146
24	2.393460273
25	2.377965833
26	2.364105705
27	2.351813833
28	2.339637871
29	2.328413804
30	2.318309555
31	2.308989444
32	2.300462707
33	2.292705982
34	2.285484515
35	2.278911517
36	2.272932365
37	2.267469099
38	2.262290493
39	2.25775788
40	2.253412071
41	2.249674899
42	2.246157243
43	2.242800276
44	2.239489602
45	2.23668463
46	2.234183815
47	2.231738705
48	2.229428419
49	2.227266237
50	2.225432536
51	2.223833779
52	2.222164614
53	2.22062586
54	2.21925995
55	2.217979545
56	2.216656768
57	2.215586271
58	2.214544853
59	2.213479894
60	2.212374564
61	2.211628239
62	2.210944129
63	2.210088814
64	2.209473898
65	2.2087968
66	2.2082212
67	2.207535896
68	2.206947917
69	2.206297015
70	2.205679613
71	2.205106038
72	2.204583271
73	2.20398121
74	2.203572116
75	2.203043087
76	2.202601038
77	2.20214988
78	2.201696569
79	2.201371488
80	2.200921357
81	2.200357132
82	2.200011065
83	2.199618468
84	2.198986783
85	2.198377581
86	2.197868812
87	2.197634987
88	2.197166347
89	2.196877467
90	2.196484999
91	2.196228644
92	2.195871132
93	2.195627533
94	2.195382281
95	2.195044505
96	2.194762656
97	2.194595385
98	2.194334359
99	2.193931612
100	2.193728942
101	2.193475121
102	2.193285077
103	2.193053144
104	2.192848627
105	2.192715587
106	2.192321133
107	2.192174635
108	2.191836317
109	2.191485051
110	2.191290122
111	2.191051819
112	2.190799852
113	2.190529494
114	2.190281917
115	2.190122834
116	2.189934991
117	2.189909152
118	2.189534459
119	2.189296335
120	2.189037276
121	2.188631592
122	2.188409201
123	2.188151475
124	2.187931059
125	2.187714837
126	2.187491202
127	2.187295741
128	2.18705634
129	2.186819219
130	2.186692704
131	2.186437457
132	2.186260682
133	2.186042819
134	2.185926133
135	2.185594584
136	2.185286478
137	2.185266849
138	2.18520525
139	2.185016377
140	2.184867663
141	2.184757789
142	2.184713112
143	2.184623584
144	2.184448488
145	2.184332003
146	2.184207652
147	2.183931462
148	2.183828601
149	2.183739493
150	2.1834516
151	2.183190581
152	2.183099178
153	2.183008711
154	2.182918568
155	2.182766976
156	2.182527399
157	2.182455441
158	2.182267541
159	2.182176098
160	2.182017237
161	2.181900923
162	2.181830385
163	2.181675027
164	2.18152616
165	2.181406097
166	2.181212498
167	2.181074261
168	2.180914694
169	2.180820627
170	2.180662048
171	2.180596055
172	2.180545823
173	2.180414732
174	2.180247299
175	2.180162632
176	2.180021855
177	2.1797393
178	2.179562144
179	2.179314117
180	2.179224366
181	2.179128992
182	2.179122692
183	2.178903802
184	2.178872792
185	2.178649205
186	2.178590496
187	2.178413871
188	2.178302296
189	2.178138571
190	2.177900198
191	2.177782475
192	2.177693061
193	2.177442487
194	2.177427876
195	2.177217833
196	2.17707237
197	2.176910847
198	2.176721602
199	2.176556521
