iter	Passed	Remaining
0	35	7057
1	71	7059
2	106	6993
3	142	6991
4	179	6985
5	215	6959
6	251	6941
7	288	6922
8	323	6868
9	360	6843
10	396	6809
11	432	6783
12	484	6963
13	519	6895
14	555	6856
15	594	6836
16	628	6770
17	662	6702
18	700	6670
19	736	6625
20	773	6595
21	809	6551
22	844	6497
23	882	6468
24	917	6423
25	954	6388
26	992	6359
27	1029	6324
28	1065	6281
29	1100	6237
30	1135	6188
31	1172	6153
32	1208	6113
33	1244	6074
34	1278	6025
35	1314	5986
36	1350	5951
37	1385	5905
38	1421	5867
39	1463	5853
40	1502	5827
41	1556	5854
42	1596	5829
43	1648	5846
44	1687	5813
45	1725	5777
46	1765	5746
47	1799	5697
48	1837	5662
49	1873	5621
50	1911	5583
51	1947	5544
52	1985	5505
53	2020	5464
54	2055	5420
55	2090	5376
56	2125	5332
57	2161	5293
58	2199	5255
59	2234	5213
60	2270	5173
61	2306	5133
62	2342	5094
63	2376	5049
64	2412	5009
65	2450	4975
66	2485	4934
67	2522	4896
68	2559	4860
69	2594	4818
70	2631	4780
71	2666	4739
72	2704	4705
73	2739	4664
74	2775	4625
75	2809	4584
76	2844	4544
77	2882	4508
78	2918	4470
79	2957	4435
80	3001	4408
81	3037	4370
82	3074	4334
83	3109	4294
84	3144	4253
85	3179	4215
86	3214	4175
87	3251	4138
88	3288	4101
89	3325	4064
90	3359	4023
91	3393	3983
92	3431	3948
93	3468	3911
94	3504	3873
95	3539	3834
96	3575	3797
97	3612	3759
98	3646	3719
99	3681	3681
100	3717	3643
101	3752	3605
102	3785	3565
103	3820	3526
104	3852	3485
105	3889	3449
106	3924	3410
107	3960	3373
108	3994	3334
109	4032	3299
110	4071	3264
111	4104	3224
112	4138	3185
113	4173	3148
114	4208	3110
115	4245	3074
116	4279	3036
117	4297	2986
118	4335	2950
119	4369	2912
120	4403	2875
121	4443	2841
122	4480	2804
123	4511	2765
124	4549	2729
125	4584	2692
126	4619	2655
127	4654	2618
128	4695	2584
129	4729	2546
130	4765	2510
131	4808	2476
132	4842	2439
133	4876	2401
134	4912	2365
135	4947	2328
136	4979	2289
137	5000	2246
138	5034	2209
139	5071	2173
140	5103	2135
141	5138	2099
142	5166	2059
143	5207	2025
144	5244	1989
145	5277	1952
146	5309	1914
147	5338	1875
148	5376	1840
149	5404	1801
150	5438	1764
151	5468	1726
152	5502	1690
153	5531	1652
154	5571	1617
155	5608	1581
156	5647	1546
157	5686	1511
158	5723	1475
159	5757	1439
160	5794	1403
161	5828	1367
162	5866	1331
163	5901	1295
164	5934	1258
165	5973	1223
166	6006	1186
167	6041	1150
168	6077	1114
169	6112	1078
170	6144	1042
171	6177	1005
172	6211	969
173	6250	933
174	6283	897
175	6322	862
176	6355	825
177	6391	789
178	6426	753
179	6463	718
180	6500	682
181	6535	646
182	6564	609
183	6616	575
184	6656	539
185	6686	503
186	6722	467
187	6755	431
188	6792	395
189	6830	359
190	6867	323
191	6903	287
192	6940	251
193	6975	215
194	7008	179
195	7044	143
196	7080	107
197	7118	71
198	7151	35
199	7187	0
